20:28:29.349303 config: drop-rate=0.00, max-delay=0s, seed=1574990909348804200
20:29:06.831409 [queue=0] packet #1052, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.831908 [queue=0] packet #1053, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.831908 [queue=0] packet #1054, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.832906 [queue=0] packet #1055, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.832906 [queue=0] packet #1056, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.833405 [queue=0] packet #1057, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.833904 [queue=0] packet #1058, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.834403 [queue=0] packet #1059, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.835402 [queue=0] packet #1060, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.835900 [queue=0] packet #1061, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.836899 [queue=0] packet #1062, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.837398 [queue=0] packet #1063, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.837897 [queue=0] packet #1064, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.838895 [queue=0] packet #1065, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.839394 [queue=0] packet #1066, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.840392 [queue=0] packet #1067, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.840891 [queue=0] packet #1068, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.841889 [queue=0] packet #1069, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.842388 [queue=0] packet #1070, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.843386 [queue=0] packet #1071, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
